no	id	type	pos	s	na	pop	genorig	genfix	gen	h	1000_rep0_dom.hs_fixed.txt
119	97050	m2	5985076	-0.0268493	0	p1	4843	5066	4843	0.3	1000_rep0_dom.hs_fixed.txt
120	95861	m2	6026489	-0.00438348	0	p1	4784	5066	4784	0.3	1000_rep0_dom.hs_fixed.txt
121	96244	m2	5563285	-0.0190622	0	p1	4803	5090	4803	0.3	1000_rep0_dom.hs_fixed.txt
122	96294	m2	5830060	-0.0269874	0	p1	4805	5090	4805	0.3	1000_rep0_dom.hs_fixed.txt
123	95350	m2	1722884	-0.014232	0	p1	4759	5154	4759	0.3	1000_rep0_dom.hs_fixed.txt
124	101650	m2	8360762	-0.00220256	0	p1	5076	5265	5076	0.3	1000_rep0_dom.hs_fixed.txt
125	102198	m2	912614	-0.0264878	0	p1	5103	5273	5103	0.3	1000_rep0_dom.hs_fixed.txt
126	101779	m2	7421887	-0.0329291	0	p1	5083	5274	5083	0.3	1000_rep0_dom.hs_fixed.txt
127	98466	m2	6855694	-0.0116784	0	p1	4915	5403	4915	0.3	1000_rep0_dom.hs_fixed.txt
128	97051	m2	6988396	-0.0241049	0	p1	4843	5403	4843	0.3	1000_rep0_dom.hs_fixed.txt
129	105051	m2	24442	-0.00925948	0	p1	5248	5423	5248	0.3	1000_rep0_dom.hs_fixed.txt
130	95312	m2	2704404	-0.0187119	0	p1	4757	5425	4757	0.3	1000_rep0_dom.hs_fixed.txt
131	105375	m2	8335092	-0.00605228	0	p1	5265	5474	5265	0.3	1000_rep0_dom.hs_fixed.txt
132	99814	m2	4382942	-0.0117134	0	p1	4984	5540	4984	0.3	1000_rep0_dom.hs_fixed.txt
133	94001	m2	6589495	-0.0266369	0	p1	4692	5553	4692	0.3	1000_rep0_dom.hs_fixed.txt
134	103730	m2	3410980	-0.0260384	0	p1	5180	5604	5180	0.3	1000_rep0_dom.hs_fixed.txt
135	105802	m2	4249272	-0.0157727	0	p1	5287	5604	5287	0.3	1000_rep0_dom.hs_fixed.txt
136	109323	m2	3937858	-0.0176187	0	p1	5468	5607	5468	0.3	1000_rep0_dom.hs_fixed.txt
137	107998	m2	8702327	-0.0026867	0	p1	5400	5617	5400	0.3	1000_rep0_dom.hs_fixed.txt
138	107832	m2	6593750	-0.0167497	0	p1	5391	5619	5391	0.3	1000_rep0_dom.hs_fixed.txt
139	109515	m2	7973652	-0.00396188	0	p1	5478	5642	5478	0.3	1000_rep0_dom.hs_fixed.txt
140	109753	m2	8877450	-0.0104974	0	p1	5491	5682	5491	0.3	1000_rep0_dom.hs_fixed.txt
141	104962	m2	9962120	-0.00101988	0	p1	5244	5730	5244	0.3	1000_rep0_dom.hs_fixed.txt
142	111921	m2	729229	-0.00435602	0	p1	5602	5737	5602	0.3	1000_rep0_dom.hs_fixed.txt
143	105549	m2	1312703	-0.0319481	0	p1	5274	5737	5274	0.3	1000_rep0_dom.hs_fixed.txt
144	111213	m2	8096170	-0.00339563	0	p1	5566	5756	5566	0.3	1000_rep0_dom.hs_fixed.txt
145	113260	m2	4890094	-0.0227568	0	p1	5670	5791	5670	0.3	1000_rep0_dom.hs_fixed.txt
146	108253	m2	7064366	-0.0150022	0	p1	5412	5792	5412	0.3	1000_rep0_dom.hs_fixed.txt
147	114203	m2	6868495	-0.0194982	0	p1	5719	5874	5719	0.3	1000_rep0_dom.hs_fixed.txt
148	112191	m2	1553778	-0.00258168	0	p1	5617	5918	5617	0.3	1000_rep0_dom.hs_fixed.txt
149	111989	m2	1609449	-0.00389106	0	p1	5605	5918	5605	0.3	1000_rep0_dom.hs_fixed.txt
150	115348	m2	5351739	-0.000203852	0	p1	5775	5950	5775	0.3	1000_rep0_dom.hs_fixed.txt
151	115836	m2	4756306	-0.00479251	0	p1	5801	5970	5801	0.3	1000_rep0_dom.hs_fixed.txt
152	115774	m2	5178539	-0.0272386	0	p1	5797	5970	5797	0.3	1000_rep0_dom.hs_fixed.txt
153	107570	m2	176864	-0.0364613	0	p1	5377	6024	5377	0.3	1000_rep0_dom.hs_fixed.txt
154	119715	m2	8119426	-0.0227972	0	p1	5997	6098	5997	0.3	1000_rep0_dom.hs_fixed.txt
155	119277	m2	8607789	-0.0149685	0	p1	5974	6100	5974	0.3	1000_rep0_dom.hs_fixed.txt
156	120676	m2	1664899	-0.0162597	0	p1	6043	6182	6043	0.3	1000_rep0_dom.hs_fixed.txt
157	115460	m2	9545822	-0.00193136	0	p1	5781	6211	5781	0.3	1000_rep0_dom.hs_fixed.txt
158	117417	m2	538384	-0.000381078	0	p1	5881	6355	5881	0.3	1000_rep0_dom.hs_fixed.txt
159	124375	m2	930908	-0.00135808	0	p1	6229	6400	6229	0.3	1000_rep0_dom.hs_fixed.txt
160	122405	m2	4898236	-0.022978	0	p1	6129	6401	6129	0.3	1000_rep0_dom.hs_fixed.txt
161	124276	m2	6160267	-0.00118894	0	p1	6223	6461	6223	0.3	1000_rep0_dom.hs_fixed.txt
162	124062	m2	8042767	-0.00036027	0	p1	6212	6535	6212	0.3	1000_rep0_dom.hs_fixed.txt
163	125805	m2	8631578	-0.0314083	0	p1	6305	6535	6305	0.3	1000_rep0_dom.hs_fixed.txt
164	118888	m2	3099777	-0.00199889	0	p1	5954	6620	5954	0.3	1000_rep0_dom.hs_fixed.txt
165	118908	m2	3212087	-0.00469013	0	p1	5955	6624	5955	0.3	1000_rep0_dom.hs_fixed.txt
166	124694	m2	5699270	-0.0241133	0	p1	6246	6629	6246	0.3	1000_rep0_dom.hs_fixed.txt
167	126491	m2	5887982	-0.0137013	0	p1	6339	6681	6339	0.3	1000_rep0_dom.hs_fixed.txt
168	123033	m2	6049598	-0.000946395	0	p1	6160	6681	6160	0.3	1000_rep0_dom.hs_fixed.txt
169	135784	m2	9078241	-0.0105818	0	p1	6815	6910	6815	0.3	1000_rep0_dom.hs_fixed.txt
170	132197	m2	3401915	-0.00506485	0	p1	6630	6918	6630	0.3	1000_rep0_dom.hs_fixed.txt
171	135489	m2	4143698	-0.0268842	0	p1	6800	6918	6800	0.3	1000_rep0_dom.hs_fixed.txt
172	135995	m2	6285050	-0.00458489	0	p1	6827	7012	6827	0.3	1000_rep0_dom.hs_fixed.txt
173	138820	m2	1732312	-0.0130654	0	p1	6965	7201	6965	0.3	1000_rep0_dom.hs_fixed.txt
174	138491	m2	1147764	-0.00425566	0	p1	6949	7242	6949	0.3	1000_rep0_dom.hs_fixed.txt
175	139557	m2	368912	-0.0116824	0	p1	7004	7302	7004	0.3	1000_rep0_dom.hs_fixed.txt
176	137337	m2	4067246	-0.00506882	0	p1	6890	7402	6890	0.3	1000_rep0_dom.hs_fixed.txt
177	138038	m2	4604167	-0.0137308	0	p1	6926	7402	6926	0.3	1000_rep0_dom.hs_fixed.txt
178	143179	m2	4887541	-0.00222406	0	p1	7185	7402	7185	0.3	1000_rep0_dom.hs_fixed.txt
179	144532	m2	5990798	-0.0142639	0	p1	7253	7436	7253	0.3	1000_rep0_dom.hs_fixed.txt
180	140958	m2	1883725	-0.0030984	0	p1	7072	7495	7072	0.3	1000_rep0_dom.hs_fixed.txt
181	146114	m2	9192508	-0.0298523	0	p1	7333	7516	7333	0.3	1000_rep0_dom.hs_fixed.txt
182	147193	m2	9257700	-0.0213929	0	p1	7389	7516	7389	0.3	1000_rep0_dom.hs_fixed.txt
183	139998	m2	848351	-0.00644485	0	p1	7024	7536	7024	0.3	1000_rep0_dom.hs_fixed.txt
184	145740	m2	8207354	-0.00454637	0	p1	7314	7564	7314	0.3	1000_rep0_dom.hs_fixed.txt
185	146881	m2	6411762	-0.0371419	0	p1	7374	7587	7374	0.3	1000_rep0_dom.hs_fixed.txt
186	146536	m2	6225481	-0.00101374	0	p1	7357	7629	7357	0.3	1000_rep0_dom.hs_fixed.txt
187	150412	m2	1240412	-0.0168962	0	p1	7551	7679	7551	0.3	1000_rep0_dom.hs_fixed.txt
188	145384	m2	5917419	-0.0259588	0	p1	7296	7715	7296	0.3	1000_rep0_dom.hs_fixed.txt
189	149833	m2	7679644	-0.0085084	0	p1	7523	7715	7523	0.3	1000_rep0_dom.hs_fixed.txt
190	146105	m2	61196	-0.009764	0	p1	7332	7716	7332	0.3	1000_rep0_dom.hs_fixed.txt
191	149026	m2	117699	-0.005164	0	p1	7483	7716	7483	0.3	1000_rep0_dom.hs_fixed.txt
192	146394	m2	4842498	-0.0120753	0	p1	7349	7720	7349	0.3	1000_rep0_dom.hs_fixed.txt
193	148404	m2	3364638	-0.0115764	0	p1	7451	7737	7451	0.3	1000_rep0_dom.hs_fixed.txt
194	148742	m2	3874379	-0.0125968	0	p1	7468	7789	7468	0.3	1000_rep0_dom.hs_fixed.txt
195	151674	m2	3164855	-0.00316959	0	p1	7615	7857	7615	0.3	1000_rep0_dom.hs_fixed.txt
196	151845	m2	1368970	-0.0172942	0	p1	7624	7859	7624	0.3	1000_rep0_dom.hs_fixed.txt
197	149546	m2	796467	-0.00295127	0	p1	7510	7868	7510	0.3	1000_rep0_dom.hs_fixed.txt
198	150780	m2	871305	-0.00290345	0	p1	7569	7868	7569	0.3	1000_rep0_dom.hs_fixed.txt
199	152958	m2	6270931	-0.0389437	0	p1	7680	7898	7680	0.3	1000_rep0_dom.hs_fixed.txt
200	154119	m2	1444648	-0.0164379	0	p1	7740	7903	7740	0.3	1000_rep0_dom.hs_fixed.txt
201	153115	m2	4078870	-0.00795373	0	p1	7688	7910	7688	0.3	1000_rep0_dom.hs_fixed.txt
202	153364	m2	4399186	-0.0216886	0	p1	7702	7910	7702	0.3	1000_rep0_dom.hs_fixed.txt
203	146842	m2	288859	-0.00999176	0	p1	7372	8042	7372	0.3	1000_rep0_dom.hs_fixed.txt
204	153424	m2	347385	-0.00140583	0	p1	7705	8042	7705	0.3	1000_rep0_dom.hs_fixed.txt
205	156503	m2	8255706	-0.0108781	0	p1	7856	8129	7856	0.3	1000_rep0_dom.hs_fixed.txt
206	160093	m2	9653066	-0.0326229	0	p1	8033	8195	8033	0.3	1000_rep0_dom.hs_fixed.txt
207	159310	m2	8504869	-0.00754342	0	p1	7994	8226	7994	0.3	1000_rep0_dom.hs_fixed.txt
208	157705	m2	7641476	-0.0038614	0	p1	7918	8254	7918	0.3	1000_rep0_dom.hs_fixed.txt
209	161168	m2	7301240	-0.00539522	0	p1	8089	8331	8089	0.3	1000_rep0_dom.hs_fixed.txt
210	162596	m2	3419648	-0.00574556	0	p1	8160	8383	8160	0.3	1000_rep0_dom.hs_fixed.txt
211	157100	m2	7875093	-0.00380579	0	p1	7887	8481	7887	0.3	1000_rep0_dom.hs_fixed.txt
212	165238	m2	4577399	-0.000214758	0	p1	8297	8524	8297	0.3	1000_rep0_dom.hs_fixed.txt
213	155205	m2	5305007	-0.00345758	0	p1	7792	8524	7792	0.3	1000_rep0_dom.hs_fixed.txt
214	160251	m2	3596682	-0.00650044	0	p1	8041	8525	8041	0.3	1000_rep0_dom.hs_fixed.txt
215	169989	m2	5810219	-0.000106312	0	p1	8532	8652	8532	0.3	1000_rep0_dom.hs_fixed.txt
216	159263	m2	8249495	-0.00659951	0	p1	7992	8669	7992	0.3	1000_rep0_dom.hs_fixed.txt
217	171557	m2	4597505	-0.0052224	0	p1	8614	8828	8614	0.3	1000_rep0_dom.hs_fixed.txt
218	172031	m2	6427592	-0.00883365	0	p1	8636	8832	8636	0.3	1000_rep0_dom.hs_fixed.txt
219	170572	m2	2925019	-0.0252971	0	p1	8563	8850	8563	0.3	1000_rep0_dom.hs_fixed.txt
220	172275	m2	8918145	-0.0298843	0	p1	8647	8860	8647	0.3	1000_rep0_dom.hs_fixed.txt
221	173137	m2	3253438	-0.0324242	0	p1	8693	8872	8693	0.3	1000_rep0_dom.hs_fixed.txt
222	173693	m2	8156348	-0.00424712	0	p1	8722	8939	8722	0.3	1000_rep0_dom.hs_fixed.txt
223	174073	m2	967079	-0.000730422	0	p1	8742	8993	8742	0.3	1000_rep0_dom.hs_fixed.txt
224	171760	m2	2630804	-0.00661492	0	p1	8624	8993	8624	0.3	1000_rep0_dom.hs_fixed.txt
225	176678	m2	2109379	-0.0102802	0	p1	8873	9138	8873	0.3	1000_rep0_dom.hs_fixed.txt
226	177962	m2	2126618	-0.0164982	0	p1	8939	9138	8939	0.3	1000_rep0_dom.hs_fixed.txt
227	176742	m2	6035588	-0.00677976	0	p1	8877	9176	8877	0.3	1000_rep0_dom.hs_fixed.txt
228	178671	m2	7299814	-0.0238124	0	p1	8976	9176	8976	0.3	1000_rep0_dom.hs_fixed.txt
229	175746	m2	7866073	-0.0187548	0	p1	8826	9176	8826	0.3	1000_rep0_dom.hs_fixed.txt
230	174559	m2	2857523	-0.0816101	0	p1	8767	9179	8767	0.3	1000_rep0_dom.hs_fixed.txt
231	180044	m2	4607769	-0.0631355	0	p1	9046	9213	9046	0.3	1000_rep0_dom.hs_fixed.txt
232	174560	m2	3717950	-0.0261128	0	p1	8767	9226	8767	0.3	1000_rep0_dom.hs_fixed.txt
233	173480	m2	3896434	-0.00130779	0	p1	8709	9226	8709	0.3	1000_rep0_dom.hs_fixed.txt
234	178669	m2	9335803	-0.0215332	0	p1	8976	9386	8976	0.3	1000_rep0_dom.hs_fixed.txt
235	184721	m2	3228930	-0.000749906	0	p1	9275	9393	9275	0.3	1000_rep0_dom.hs_fixed.txt
236	184846	m2	4390290	-0.0071969	0	p1	9281	9393	9281	0.3	1000_rep0_dom.hs_fixed.txt
237	186109	m2	8620408	-0.0088614	0	p1	9345	9457	9345	0.3	1000_rep0_dom.hs_fixed.txt
238	186989	m2	3446285	-0.00130652	0	p1	9386	9495	9386	0.3	1000_rep0_dom.hs_fixed.txt
239	187657	m2	3136582	-0.0199263	0	p1	9421	9518	9421	0.3	1000_rep0_dom.hs_fixed.txt
240	176229	m2	6497884	-0.0200993	0	p1	8851	9577	8851	0.3	1000_rep0_dom.hs_fixed.txt
241	183011	m2	173929	-0.00630639	0	p1	9193	9598	9193	0.3	1000_rep0_dom.hs_fixed.txt
242	184125	m2	5166679	-0.000336199	0	p1	9245	9609	9245	0.3	1000_rep0_dom.hs_fixed.txt
243	188597	m2	7342149	-0.020596	0	p1	9469	9616	9469	0.3	1000_rep0_dom.hs_fixed.txt
244	188962	m2	9944300	-0.0119409	0	p1	9488	9661	9488	0.3	1000_rep0_dom.hs_fixed.txt
